N;article;author;year;LINK;morphological_structure;extracted_features;extraction_techniques;classification_techniques;accuracy;Life_forms;data_set;country_of_origin
113;Medicinal Plant Recognition based on CNN and Machine Learning;"DUDI B;RAJESH V";2019;http://dx.doi.org/10.30534/ijatcse/2019/03842019;Leave;Representations;Convolutional Neural Networks (CNN);Discriminant Analysis;98;Various;Base de dados pública;China
113;Medicinal Plant Recognition based on CNN and Machine Learning;"DUDI B;RAJESH V";2019;http://dx.doi.org/10.30534/ijatcse/2019/03842019;Leave;Representations;Convolutional Neural Networks (CNN);K-Nearest neighbour (KNN);98;Various;Base de dados pública;China
113;Medicinal Plant Recognition based on CNN and Machine Learning;"DUDI B;RAJESH V";2019;http://dx.doi.org/10.30534/ijatcse/2019/03842019;Leave;Representations;Convolutional Neural Networks (CNN);Naive Bayes;98;Various;Base de dados pública;China
114;A Combination of Transfer Learning and Deep Learning for Medicinal Plant Classification;"DUONG-TRUNG N;QUACH L;NGUYEN M;NGUYEN C";2019;https://doi.org/10.1145/3321454.3321464;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98.7;Medicinal plants;Autores;Vietnam
115;Automatic Vision Based Classification System Using DNN and SVM Classifiers;"DURAIRAJAH V;GOBEE S;MUNEER A";2018;https://doi.org/10.1109/CRC.2018.00011;Leave;Shape;Zernike Moments (ZM);Convolutional Neural Networks (CNN);98;Herbaceous;Autores;Malaysia
115;Automatic Vision Based Classification System Using DNN and SVM Classifiers;"DURAIRAJAH V;GOBEE S;MUNEER A";2018;https://doi.org/10.1109/CRC.2018.00011;Leave;Shape;HU moments;Suport Vector Machine (SVM);98;Herbaceous;Autores;Malaysia
116;Plant species classification using deep convolutional neural network;"DYRMANN M;KARSTOFT H;MIDTIBY H";2016;https://doi.org/10.1016/j.biosystemseng.2016.08.024;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);86.2;Weeds;Autores;Denmark
117;Estimation of plant species by classifying plants and leaves in combination;"DYRMANN M;CHRISTIANSEN P;MIDTIBY H";2017;https://doi.org/10.1002/rob.21734;Whole plants;Shape;Shape features;Suport Vector Machine (SVM);93.9;Weeds;Base de dados pública;NI
117;Estimation of plant species by classifying plants and leaves in combination;"DYRMANN M;CHRISTIANSEN P;MIDTIBY H";2017;https://doi.org/10.1002/rob.21734;Whole plants;Shape;Shape features;Suport Vector Machine (SVM);93.9;Weeds;Base de dados pública;NI
118;Leaf plant identification system based on hidden naıve bays classifier;"EID H;HASSANIEN A;KIM T";2015;https://doi.org/10.1109/AITS.2015.28;Leave;Shape;Shape features;Naive Bayes;97;Various;Base de dados pública;China
118;Leaf plant identification system based on hidden naıve bays classifier;"EID H;HASSANIEN A;KIM T";2015;https://doi.org/10.1109/AITS.2015.28;Leave;Shape;Shape features;Naive Bayes;97;Various;Base de dados pública;China
119;Plant Classification System based on Leaf Features;"ELHARIRI E;EL-BENDARY N;HASSANIEN A";2014;https://doi.org/10.1109/ICCES.2014.7030971;Leave;Color;Moments of color;Random Forest (RF);92.65;NI;NI;NI
119;Plant Classification System based on Leaf Features;"ELHARIRI E;EL-BENDARY N;HASSANIEN A";2014;https://doi.org/10.1109/ICCES.2014.7030971;Leave;Shape;Morphological Features;Random Forest (RF);92.65;NI;NI;NI
119;Plant Classification System based on Leaf Features;"ELHARIRI E;EL-BENDARY N;HASSANIEN A";2014;https://doi.org/10.1109/ICCES.2014.7030971;Leave;Shape;Shape features;Linear Discriminant Analysis (LDA);92.65;NI;NI;NI
119;Plant Classification System based on Leaf Features;"ELHARIRI E;EL-BENDARY N;HASSANIEN A";2014;https://doi.org/10.1109/ICCES.2014.7030971;Leave;Texture;Gray level cooccurrence matrix (GLCM);Linear Discriminant Analysis (LDA);92.65;NI;NI;NI
120;Novel Network for Medicinal Leaves Identification;"BLESSLIN E C;BAULKANI S";2023;https://doi.org/10.1080/03772063.2021.2016504;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.89;Medicinal plants;Base de dados pública;India
121;Feature Selection for Texture-Based Plant Leaves Classification;ELNEMR H;2017;https://doi.org/10.1109/ACCS-PEIT.2017.8303025;Leave;Texture;Local Binary Pattern (LBP);K-Nearest neighbour (KNN);98;Various;Base de dados pública;China
121;Feature Selection for Texture-Based Plant Leaves Classification;ELNEMR H;2017;https://doi.org/10.1109/ACCS-PEIT.2017.8303025;Leave;Texture;Gray level cooccurrence matrix (GLCM);K-Nearest neighbour (KNN);98;Various;Base de dados pública;China
121;Feature Selection for Texture-Based Plant Leaves Classification;ELNEMR H;2017;https://doi.org/10.1109/ACCS-PEIT.2017.8303025;Leave;Texture;Curvelet Transform Descriptors (CTD);K-Nearest neighbour (KNN);98;Various;Base de dados pública;China
122;Towards weeds identification assistance through transfer learning;"ESPEJO-GARCIA B;MYLONAS N;ATHANASAKOS L;FOUNTAS S;VASILAKOGLOU I";2020;https://doi.org/10.1016/j.compag.2020.105306;Whole plants;Representations;Convolutional Neural Networks (CNN);Suport Vector Machine (SVM);99.29;Weeds;Autores;Greece
122;Towards weeds identification assistance through transfer learning;"ESPEJO-GARCIA B;MYLONAS N;ATHANASAKOS L;FOUNTAS S;VASILAKOGLOU I";2020;https://doi.org/10.1016/j.compag.2020.105306;Whole plants;Representations;Convolutional Neural Networks (CNN);XGBoost;99.29;Weeds;Autores;Greece
122;Towards weeds identification assistance through transfer learning;"ESPEJO-GARCIA B;MYLONAS N;ATHANASAKOS L;FOUNTAS S;VASILAKOGLOU I";2020;https://doi.org/10.1016/j.compag.2020.105306;Whole plants;Representations;Convolutional Neural Networks (CNN);Logistic Regression;99.29;Weeds;Autores;Greece
123;Wood species automatic identification from wood core images with a residual convolutional neural network;"FABIJAÅƒSKA A;DANEK M;BARNIAK J";2021;https://doi.org/10.1016/j.compag.2020.105941;Wood;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98.7;Trees;Autores;Poland
124;Fully‑automatic natural plant recognition system using deep neural network for dynamic outdoor environments;"FATHI K M;MOHAMMED S N;KUHNERT K";2019;https://link.springer.com/article/10.1007/s42452-019-0785-9;Botanical Structures;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.5;Various;Autores;Germany
125;Flower and leaf recognition for plant identification using convolutional neural network;"FATIHAHSAHIDAN N;JUHA A;MOHAMMAD N;IBRAHIM Z";2019;http://doi.org/10.11591/ijeecs.v16.i2.pp737-743;Flowers;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98;Various;Base de dados pública;Various
125;Flower and leaf recognition for plant identification using convolutional neural network;"FATIHAHSAHIDAN N;JUHA A;MOHAMMAD N;IBRAHIM Z";2019;http://doi.org/10.11591/ijeecs.v16.i2.pp737-743;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98;Various;Base de dados pública;Various
126;"Crop and Weeds Classification for Precision Agriculture Using Context-
Independent Pixel-Wise Segmentation";"FAWAKHERJI M;YOUSSEF A;BLOISI D;PRETTO A;NARDI D";2019;https://doi.org/10.1109/IRC.2019.00029;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);90;Weeds;Autores;Italy
127;An initial study of deep learning for mangrove classification;"FAZA S;NABABAN E;EFENDI S;BASYUNI M;RAHMAT R";2018;https://iopscience.iop.org/article/10.1088/1757-899X/420/1/012093;Morphological attributes;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98;Trees;Autores;Indonesia
128;"Flower Recognition Based on Transfer Learning and Adam Deep
Learning Optimization Algorithm";"FENG J;WANG Z;ZHA M;CAO X";2019;https://doi.org/10.1145/3366194.3366301;Flowers;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98.99;Herbaceous;Base de dados pública;United Kingdom
129;Leaf Recognition Based on Leaf Tip and Leaf Base Using Centroid Contour Gradient;"FERN B;SULONG G;RAHIM M";2014;http://dx.doi.org/10.1166/asl.2014.5300;Leave;Shape;Centroid Contour Gradient (CCG);Artificial Neural Networks (ANN);99.47;NI;Autores;Malaysia
130;Using Deep Convolutional Networks for Species Identification of Xylotheque Samples;"FIGUEROA-MATA G;MATA-MONTERO E;VALVERDE-OTAROLA J;ARIAS-AGUILAR D";2018;https://doi.org/10.1109/IWOBI.2018.8464216;Wood;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);93.6;Trees;Base de dados pública;Brazil
131;Using Deep Learning to Identify Costa Rican Native Tree Species From Wood Cut Images;"FIGUEROA-MATA G;MATA-MONTERO E;VALVERDE-OTÃROLA J;ARIAS-AGUILAR D;ZAMORA-VILLALOBOS N";2022;https://doi.org/10.3389/fpls.2022.789227;Wood;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);80.3;Trees;Autores;Costa Rica
132;Pixel- and object-based multispectral classification of forest tree species from small unmanned aerial vehicles;FRANKLIN S;2017;https://doi.org/10.1139/juvs-2017-0022;Canopy;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);80;Trees;Autores;Canada
133;A Convolutional Neural Network Classifier Identifies Tree Species in Mixed-Conifer Forest from Hyperspectral Imagery;"FRICKER G;VENTURA J;WOLF J;NORTH M;DAVIS F;FRANKLIN J";2019;https://doi.org/10.3390/rs11192326;Canopy;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);87;Trees;Autores;United States
134;Machine learning techniques for ontology-based leaf classification;"FU H;CHI Z;FENG D;SONG J";2005;https://doi.org/10.1109/ICARCV.2004.1468909;Leave;Shape;Shape features;Artificial Neural Networks (ANN);94;NI;Autores;China
135;Combined thresholding and neural network approach for vein pattern extraction from leaf images;"FU H;CHI Z";2006;https://doi.org/10.1049/ip-vis:20060061;Leave;Shape;Threshold-Based Targeting;Artificial Neural Networks (ANN);97.33;NI;Autores;China
136;Plant Identification: Two Dimensional-Based Vs. One Dimensional-Based Feature Extraction Methods;"GABER T;THARWAT A;SNASEL V;HASSANIEN A";2015;http://dx.doi.org/10.1007/978-3-319-19719-7_33;Leave;Shape;Principal Component Analysis (PCA);Bagging Classifier;95;Various;Base de dados pública;China
136;Plant Identification: Two Dimensional-Based Vs. One Dimensional-Based Feature Extraction Methods;"GABER T;THARWAT A;SNASEL V;HASSANIEN A";2015;http://dx.doi.org/10.1007/978-3-319-19719-7_33;Leave;Shape;Linear Discriminant Analysis (LDA);Bagging Classifier;95;Various;Base de dados pública;China
137;"DeepHerb: A Vision Based System for Medicinal
Plants Using Xception Features";"ROOPASHREE S;ANITHA J";2021;https://doi.org/10.1109/ACCESS.2021.3116207;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);97.5;Medicinal plants;Autores;India
138;Plant Identification in a Combined-Imbalanced Leaf Dataset;"GAJJAR V;NAMBISAN A;KOSBAR K";2022;https://doi.org/10.1109/ACCESS.2022.3165583;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98.61;Various;Base de dados pública;Various
139;BLeafNet: A Bonferroni mean operator based fusion of CNN models for plant identification using leaf image classification;"GANGULY S;BHOWAL P;OLIVA D;SARKAR R";2022;https://doi.org/10.1016/j.ecoinf.2022.101585;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98.54;Various;Base de dados pública;Various
140;Classification of tree species on the basis of tree bark texture;"GANSCHOW L;THIELE T;DECKERS N;REULKE R";2019;https://doi.org/10.5194/isprs-archives-XLII-2-W13-1855-2019;Bark;Texture;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);96.7;Trees;Autores;NI
141;A Mobile Application for Plant Recognition through Deep Learning;"GAO M;LIN Y;SINNOTT R";2017;https://doi.org/10.1109/eScience.2017.15;Flowers;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);90;Herbaceous;Base de dados pública;NI
142;Recognising weeds in a maize crop using a random forest machine-learning algorithm and near-infrared snapshot mosaic hyperspectral imagery;"GAO J;NUYTTENS D;LOOTENS P;HE Y;PIETERS J";2018;https://doi.org/10.1016/j.biosystemseng.2018.03.006;Whole plants;Spectral features;Normalized Difference Vegetation Index;Random Forest (RF);78.9;Weeds;Autores;Belgium
142;Recognising weeds in a maize crop using a random forest machine-learning algorithm and near-infrared snapshot mosaic hyperspectral imagery;"GAO J;NUYTTENS D;LOOTENS P;HE Y;PIETERS J";2018;https://doi.org/10.1016/j.biosystemseng.2018.03.006;Whole plants;Spectral features;Rational vegetation index;Random Forest (RF);;;Autores;Belgium
143;Leaf Recognition using Multi-Layer Perceptron;"GEORGE J;RAJ S";2017;https://doi.org/10.1109/ICECDS.2017.8389846;Leave;Shape;Shape features;Artificial Neural Networks (ANN);95.3;NI;Base de dados pública;United States
143;Leaf Recognition using Multi-Layer Perceptron;"GEORGE J;RAJ S";2017;https://doi.org/10.1109/ICECDS.2017.8389846;Leave;Color;Color characteristics;Artificial Neural Networks (ANN);95.3;NI;Base de dados pública;United States
143;Leaf Recognition using Multi-Layer Perceptron;"GEORGE J;RAJ S";2017;https://doi.org/10.1109/ICECDS.2017.8389846;Leave;Shape;Intelligent edge detection;Artificial Neural Networks (ANN);95.3;NI;Base de dados pública;United States
144;Leaf Identification using Harris Corner Detection.SURF Feature and FLANN Matcher;"GEORGE J;GLADSTON R S";2019;https://doi.org/10.1109/ICECDS.2017.8389846;Leave;Shape;Speed up Robust Features (SURF);K-Nearest neighbour (KNN);98.75;Various;Base de dados pública;China
145;New Feature Extraction for Wood Species Recognition System via Statistical Properties of Line Distribution;"GHAPAR H;KHAIRUDDIN U;YUSOF R;KHAIRUDDIN A;AHMAD A";2021;https://doi.org/10.1109/ICECCE52056.2021.9514115;Wood;Texture;Statistical Properties of line Distribuition (SPLD);K-Nearest neighbour (KNN);99.5;Trees;Base de dados pública;Malaysia
145;New Feature Extraction for Wood Species Recognition System via Statistical Properties of Line Distribution;"GHAPAR H;KHAIRUDDIN U;YUSOF R;KHAIRUDDIN A;AHMAD A";2021;https://doi.org/10.1109/ICECCE52056.2021.9514115;Wood;Texture;Basic Gray Level Aura Matrix (BGLAM);K-Nearest neighbour (KNN);99.5;Trees;Base de dados pública;Malaysia
145;New Feature Extraction for Wood Species Recognition System via Statistical Properties of Line Distribution;"GHAPAR H;KHAIRUDDIN U;YUSOF R;KHAIRUDDIN A;AHMAD A";2021;https://doi.org/10.1109/ICECCE52056.2021.9514115;Wood;Texture;Statistical Properties of line Distribuition (SPLD);K-Nearest neighbour (KNN);99.5;Trees;Base de dados pública;Malaysia
146;Sabanci-Okan System in LifeCLEF 2015 Plant Identication Competition;"GHAZI M;YANIKOGLU B;APTOULA E;MUSLU O;OZDEMIR M";2015;https://www.researchgate.net/publication/289531483_Sabanci-Okan_System_in_LifeCLEF_2015_Plant_Identification_Competition#full-text;Multiple plant organs;Representations;Convolutional Neural Networks (CNN);Suport Vector Machine (SVM);90.49;Various;Base de dados pública;NI
147;Open-set Plant Identi cation Using an Ensemble of Deep Convolutional Neural Networks;"GHAZI M;YANIKOGLU B;APTOULA E";2016;https://www.researchgate.net/publication/309210779_Open-set_Plant_Identification_Using_an_Ensemble_of_Deep_Convolutional_Neural_Networks#full-text;Multiple plant organs;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);73.8;Various;Base de dados pública;NI
148;SVM and KNN Based CNN Architectures for Plant Classification;"GHOSH S;SINGH A;KAVITA K;JHANJHI N;MASUD M;ALJAHDALI S";2021;https://doi.org/10.32604/cmc.2022.023414;Leave;Representations;Convolutional Neural Networks (CNN);Suport Vector Machine (SVM);99.5;Various;Base de dados pública;Various
148;SVM and KNN Based CNN Architectures for Plant Classification;"GHOSH S;SINGH A;KAVITA K;JHANJHI N;MASUD M;ALJAHDALI S";2021;https://doi.org/10.32604/cmc.2022.023414;Leave;Representations;Convolutional Neural Networks (CNN);K-Nearest neighbour (KNN);99.5;Various;Base de dados pública;Various
149;An automatedmodel for leaf image-based plant recognition: na optimal feature-basedmachine learning approach;"GHOSH A;ROY P";2022;https://link.springer.com/article/10.1007/s11334-022-00440-y;Leave;Texture;Gray level cooccurrence matrix (GLCM);Artificial Neural Networks (ANN);93;Various;Base de dados pública;Various
149;An automatedmodel for leaf image-based plant recognition: na optimal feature-basedmachine learning approach;"GHOSH A;ROY P";2022;https://link.springer.com/article/10.1007/s11334-022-00440-y;Leave;Texture;Local Binary Pattern (LBP);Suport Vector Machine (SVM);93;Various;Base de dados pública;Various
149;An automatedmodel for leaf image-based plant recognition: na optimal feature-basedmachine learning approach;"GHOSH A;ROY P";2022;https://link.springer.com/article/10.1007/s11334-022-00440-y;Leave;Shape;HU moments;Random Forest (RF);93;Various;Base de dados pública;Various
150;PB3C-CNN: An integrated Parallel Big Bang-Big Crunch and CNN based approach for plant leaf classification;"GHOSH S;SINGH A;KUMAR S";2023;http://dx.doi.org/10.4114/intartif.vol26iss72pp15-29;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);93.2;Various;Base de dados pública;India
151;Seedling Discrimination with Shape Features Derived from a Distance Transform;"MOSGAARD G T;SKOV M H;NYHOLM J R";2013;https://doi.org/10.3390/s130505585;Whole plants;Distance Values;Re-Sampled Feature Set (RSFS).;K-Nearest neighbour (KNN);97.5;Herbaceous;Autores;Denmark
151;Seedling Discrimination with Shape Features Derived from a Distance Transform;"MOSGAARD G T;SKOV M H;NYHOLM J R";2013;https://doi.org/10.3390/s130505585;Whole plants;Shape;Shape features;Naive Bayes;97.5;Herbaceous;Autores;Denmark
151;Seedling Discrimination with Shape Features Derived from a Distance Transform;"MOSGAARD G T;SKOV M H;NYHOLM J R";2013;https://doi.org/10.3390/s130505585;Whole plants;Shape;Shape features;Suport Vector Machine (SVM);97.5;Herbaceous;Autores;Denmark
152;Flower Species Recognition System using Convolution Neural Networks and Transfer Learning;"GOGUL I;KUMAR V";2017;https://doi.org/10.1109/ICSCN.2017.8085675;Flowers;Representations;Convolutional Neural Networks (CNN);Logistic Regression;93.41;Herbaceous;Base de dados pública;Various
152;Flower Species Recognition System using Convolution Neural Networks and Transfer Learning;"GOGUL I;KUMAR V";2017;https://doi.org/10.1109/ICSCN.2017.8085675;Flowers;Representations;Convolutional Neural Networks (CNN);Random Forest (RF);93.41;Herbaceous;Base de dados pública;Various
153;Identification of Medicinal Plant Using Image Processing and Machine Learning;"GOKHALE A;BABAR S;GAWADE S;JADHAV S";2020;NI;Leave;Shape;Shape features;K-Nearest neighbour (KNN);83.04;Various;Base de dados pública;China
153;Identification of Medicinal Plant Using Image Processing and Machine Learning;"GOKHALE A;BABAR S;GAWADE S;JADHAV S";2020;NI;Leave;Color;Color characteristics;Logistic Regression;83.04;Various;Base de dados pública;China
153;Identification of Medicinal Plant Using Image Processing and Machine Learning;"GOKHALE A;BABAR S;GAWADE S;JADHAV S";2020;NI;Leave;Texture;Texture features;Naive Bayes;83.04;Various;Base de dados pública;China
153;Identification of Medicinal Plant Using Image Processing and Machine Learning;"GOKHALE A;BABAR S;GAWADE S;JADHAV S";2020;NI;Leave;Texture;Texture features;Suport Vector Machine (SVM);83.04;Various;Base de dados pública;China
154;Semantic Guided Interactive Image Retrieval for plant identification;"GONÃ‡ALVES F;GUILHERME I;PEDRONETTE D";2018;https://doi.org/10.1016/j.eswa.2017.08.035;Flowers;Color;Color characteristics;Convolutional Neural Networks (CNN);91.38;Herbaceous;Base de dados pública;United Kingdom
154;Semantic Guided Interactive Image Retrieval for plant identification;"GONÃ‡ALVES F;GUILHERME I;PEDRONETTE D";2018;https://doi.org/10.1016/j.eswa.2017.08.035;Flowers;Texture;Texture features;Convolutional Neural Networks (CNN);91.38;Herbaceous;Base de dados pública;United Kingdom
154;Semantic Guided Interactive Image Retrieval for plant identification;"GONÃ‡ALVES F;GUILHERME I;PEDRONETTE D";2018;https://doi.org/10.1016/j.eswa.2017.08.035;Flowers;Shape;Shape features;Convolutional Neural Networks (CNN);91.38;Herbaceous;Base de dados pública;United Kingdom
155;Multiclass Twin Support Vector Machine for plant species identification;"GOYAL N;GUPTA K;KUMAR N";2019;https://link.springer.com/article/10.1007/s11042-019-7588-2;Leave;Shape;Shape features;Suport Vector Machine (SVM);98.11;Various;Base de dados pública;China
155;Multiclass Twin Support Vector Machine for plant species identification;"GOYAL N;GUPTA K;KUMAR N";2019;https://link.springer.com/article/10.1007/s11042-019-7588-2;Leave;Shape;Histogram of Oriented Gradients (HOG);Suport Vector Machine (SVM);98.11;Various;Base de dados pública;China
155;Multiclass Twin Support Vector Machine for plant species identification;"GOYAL N;GUPTA K;KUMAR N";2019;https://link.springer.com/article/10.1007/s11042-019-7588-2;Leave;Shape;Morphological Characteristics of Ribs;Artificial Neural Networks (ANN);98.11;Various;Base de dados pública;China
155;Multiclass Twin Support Vector Machine for plant species identification;"GOYAL N;GUPTA K;KUMAR N";2019;https://link.springer.com/article/10.1007/s11042-019-7588-2;Leave;Texture;Local Binary Pattern (LBP);Artificial Neural Networks (ANN);98.11;Various;Base de dados pública;China
156;Lower-dimensional intrinsic structural representation of leaf images and plant recognition;"GOYAL N;KUMAR N;GUPTA K";2021;https://link.springer.com/article/10.1007/s11760-021-01983-6;Leave;Statistics;Eigenleaves Method;K-Nearest neighbour (KNN);98.15;Various;Base de dados pública;Various
156;Lower-dimensional intrinsic structural representation of leaf images and plant recognition;"GOYAL N;KUMAR N;GUPTA K";2021;https://link.springer.com/article/10.1007/s11760-021-01983-6;Leave;Statistics;Eigenleaves Method;Suport Vector Machine (SVM);98.15;Various;Base de dados pública;Various
156;Lower-dimensional intrinsic structural representation of leaf images and plant recognition;"GOYAL N;KUMAR N;GUPTA K";2021;https://link.springer.com/article/10.1007/s11760-021-01983-6;Leave;Statistics;Eigenleaves Method;Logistic Regression;98.15;Various;Base de dados pública;Various
156;Lower-dimensional intrinsic structural representation of leaf images and plant recognition;"GOYAL N;KUMAR N;GUPTA K";2021;https://link.springer.com/article/10.1007/s11760-021-01983-6;Leave;Statistics;Eigenleaves Method;Linear Discriminant Analysis (LDA);98.15;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Shape;Shape features;Suport Vector Machine (SVM);99.49;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Shape;Morphological Characteristics of Ribs;Logistic Regression;99.49;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Texture;Local Binary Pattern (LBP);Logistic Regression;99.49;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Texture;Haralick Features;K-Nearest neighbour (KNN);99.49;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Texture;Histogram of Oriented Gradients (HOG);K-Nearest neighbour (KNN);99.49;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Texture;Tamura Features;Naive Bayes;99.49;Various;Base de dados pública;Various
157;Leaf Bagging: A novel meta heuristic optimization based framework for leaf identification;"GOYAL N;KUMAR N;KAPIL K";2022;http://dx.doi.org/10.1007/s11042-022-12825-z;Leave;Texture;Laws Texture Energy Measures (LTEM);Naive Bayes;99.49;Various;Base de dados pública;Various
158;Deep learning for plant identification using vein morphological patterns;"GRINBLAT G;UZAL L;LARESE M;GRANITTO P";2016;http://dx.doi.org/10.1016/j.compag.2016.07.003;Leave;Shape;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99;Herbaceous;Autores;NI
159;Leaf Recognition Based on the Combination of Wavelet Transform and Gaussian Interpolation1;"GU X;DU J;WANG X";2005;http://dx.doi.org/10.1007/11538059_27;Leave;Shape;Discrete Wavelet Transform (DWT);K-Nearest neighbour (KNN);93.17;NI;Autores;China
159;Leaf Recognition Based on the Combination of Wavelet Transform and Gaussian Interpolation2;"GU X;DU J;WANG X";2005;http://dx.doi.org/10.1007/11538059_27;Leave;Texture;Statistical characteristics;K-Nearest neighbour (KNN);93.17;NI;Autores;China
159;Leaf Recognition Based on the Combination of Wavelet Transform and Gaussian Interpolation3;"GU X;DU J;WANG X";2005;http://dx.doi.org/10.1007/11538059_27;Leave;Texture;Statistical characteristics;Artificial Neural Networks (ANN);93.17;NI;Autores;China
160;Leaf species recognition based on VGG16 networks and transfer learning;"GU J;YU P;LU X;DING W";2021;http://dx.doi.org/10.1109/IAEAC50856.2021.9390789;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);97.9;Various;Base de dados pública;Various
161;Intelligent flower recognition system based on deep learning;GU F;2022;https://ui.adsabs.harvard.edu/link_gateway/2022SPIE12329E..03G/doi:10.1117/12.2646860;Flowers;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);91;Herbaceous;NI;NI
162;Plant and Phenology Recognition from Field Images Using Texture and Color Features;"GULAC F;BAYAZIT U";2018;https://doi.org/10.1109/INISTA.2018.8466300;Whole plants;Texture;Histogram of Oriented Gradients (HOG);Naive Bayes;100;Herbaceous;Autores;Türkiye
162;Plant and Phenology Recognition from Field Images Using Texture and Color Features;"GULAC F;BAYAZIT U";2018;https://doi.org/10.1109/INISTA.2018.8466300;Whole plants;Texture;Gray level cooccurrence matrix (GLCM);K-Nearest neighbour (KNN);100;Herbaceous;Autores;Türkiye
162;Plant and Phenology Recognition from Field Images Using Texture and Color Features;"GULAC F;BAYAZIT U";2018;https://doi.org/10.1109/INISTA.2018.8466300;Whole plants;Texture;Laws Texture Energy Measures (LTEM);Suport Vector Machine (SVM);100;Herbaceous;Autores;Türkiye
162;Plant and Phenology Recognition from Field Images Using Texture and Color Features;"GULAC F;BAYAZIT U";2018;https://doi.org/10.1109/INISTA.2018.8466300;Whole plants;Color;Moments of color;Random Forest (RF);100;Herbaceous;Autores;Türkiye
163;Machine vision and image processing for plant identification;"GUYER D;MILES G;SCHREIBER M;MITCHELL V";1986;https://elibrary.asabe.org/login.asp?search=0&JID=3&AID=30344&CID=t1986&v=29&i=6&T=2;Leave;Spectral features;Spectral characteristics;Naive Bayes;NI;Herbaceous;Autores;NI
164;Plant Identification Through Images: Using Feature Extraction of Key Points on Leaf Contours;"GWO C;WEI C";2013;http://dx.doi.org/10.3732/apps.1200005;Leave;Shape;Keypoint Extraction Feature;Statistical Classifier;97.3;NI;Autores;Taiwan
165;Rotary matching of edge features for leaf recognition;"GWO C;WEI C;LI Y";2013;https://doi.org/10.1016/j.compag.2012.12.005;Leave;Shape;Points characteristic;Viterbi algorithm;NI;NI;Autores;Taiwan
166;Deep Learning for Plant Classification and Content-Based Image Retrieval;"GYIRES-TÃ“TH B;OSVÃTH M;PAPP D;SZUCS G";2019;Deep Learning for Plant Classification and Content-Based Image Retrieval;Multiple plant organs;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);71.96;Various;Base de dados pública;Various
